product_id,product_rating
SHOEH4KM2W3Z6EH5,5.0
VANDZY4YZFPEG85T,3.0
CGNEDFY77SGZTEQ2,3.6
WATE6Y6D2MZHWGBZ,5.0
WATE2RX9HHGBUQGA,5.0
WATEBYZGFCZPUJAR,5.0
SHOE4UC3MJZF3VFJ,5.0
WATE4CG2AQAGWGSF,3.5
SHOEYGK5AYYBVXKH,4.4
WATDZDGRQBXTKHPW,5.0
WATDUK7DKXV8WCAW,4.0
SHOEF9G8CVWHRH5M,3.5
WATE2RX9CHBGEDRC,5.0
SHOEFMRZZAXFQW4F,3.5
WATEDFHARG4YSPCA,5.0
WATDUHDBDTTVEMWS,3.6
WATEAYZJBFJXB4FZ,1.0
WATE6GAQSZYB3FKY,2.3
JEAE8CZGJ8PGGHRQ,3.0
WATDZ9CEZAQHHTZ6,5.0
SHOEFZXRNYJKPPYG,4.8
WATEAUABHVPGRBAS,5.0
SHOECB92BGNGSZGZ,5.0
WATE695YXNTDWTE8,2.7
SHOEFAJ5TYC2JMCH,3.6
WATE8B5KWSTMZK7P,4.4
WATEB5EZRN3NYXAG,5.0
SHOE2FQCR89ZNN8W,4.0
WATE9CFHPAEU3G4B,5.0
SHOE8NA5SUXGYGYY,5.0
WATECGG4W76YEBUB,5.0
WATECE855W5YFE3H,5.0
SHOEC9FZ7W9HTAQG,3.0
WATEC87GMAMZAMWA,4.5
WATE3GEYE8JQT7WM,4.0
SHOE3S9BYE5XWSKS,4.0
WATDG487YZTHEJZZ,4.5
SHOE32FUXGXGBB5Z,5.0
WATDZDSVWQRRGERC,4.8
AIRE9B8EKTNR8J4B,5.0
TOPE5PHFZHVEY42Z,2.4
SHOE7DJBEPYGQPHF,3.2
DREE9C3NKTNUCWSN,5.0
TOPEBTGCPSWPYGRM,4.5
RNGEFP2XZSFFAGGV,4.0
TOPE9RCYS54YZNFG,3.5
TOPEBNGP7UKPXDJD,3.0
SWTEDP6QUEYGXGDG,1.0
TOPE45NZFFUDHKZR,4.0
SGLEABFPHFPFTNBE,4.7
SHOE37CTDYFKDJBH,5.0
TKPDS6ZEWAR6GTAF,3.0
TKPDS6ZEWH4KF3SJ,3.0
TKPDS6ZEQCGBRX9V,2.0
TKPDS6ZEQBRWSM8U,3.0
TOPE4VR5DXAHVAG8,3.0
TOPEEERRHHZCK8TV,1.0
RNGDWKZHDVFQTDYV,5.0
DREEE9ZR9THTGUGY,5.0
SWSEBHCPAKWKRDPR,5.0
DREDVF2W9PTRAEHK,4.0
TOPE6Y8JARJNXYBX,2.0
SWTED56J4DYNPJDH,5.0
DREEDVHXJGJWQHVE,5.0
TOPE2RX95MBJFRTT,3.0
SNDDYE2M83GSMVEJ,3.0
TOPDW7AQKZZHFCZF,4.0
SNDE8H58SDEBJCFY,4.8
DREDYSNRZGBFFVQ5,4.0
TOPE8N26GCA8DNSE,2.0
TOPEATNAAKXFBCCP,3.0
TOPDX9TF4PYJMX7B,2.7
MAHEEVSWQSZUUFQY,5.0
CCVE3Z23WWHMGHFY,2.4
SHOEG52R2AKHFYHH,5.0
CCVE6FQUJHNHQVNQ,3.3
TKTEBGCK4ZVWZEZS,1.0
TCVEHSMY2TNTCKNC,5.0
TCVEHSMFYEQGRTAZ,5.0
SWIE5GN6EQ4HKHVD,4.0
MNGEJPRAZHS5ZZGA,5.0
PANEENEMG9NPM2QQ,1.0
MNGEJPST4MZDZCHT,5.0
JCKE25R8CGBFNJ4H,4.3
JCKE2HWFZD5HZRE5,4.0
CRGEYZ5FGRTYJUT6,5.0
CRGE5F2RWVWUHYTC,5.0
LFHDBF4BY3PS66NG,3.2
JCKE3X2R6SBVFZGB,5.0
SHIECPXYNJ8UHGFN,5.0
AUDCY8T7KPEG3ZZF,3.8
BLAE6ZNNDQZXKCHQ,1.0
SNDDVP9CXEMXNHFS,4.7
SNDDPXG7SGBHW6AF,4.2
LSKE99UKDTDN7HBM,5.0
LJGEHWDVCNNGPECS,5.0
BRAE6ZCHAHQE5HD9,3.0
BRAEDX65QNAZVKMS,5.0
BRAE6MPEE4X6CMB4,4.0
BRAE7V2UTY5PYTRT,4.0
BRAE7MBPWCQWDZCZ,5.0
BRAE44SCYYFM74DE,3.0
BRAE8MX2DNXVEDNH,5.0
BRADQZFYHJGCEDV6,3.2
BRAE7Y46N7YAFU2H,1.0
BRAEFR6JZ6TD2JMY,4.0
BRAE8REMHA4XCZH6,5.0
BRAE8MVUMSMBMNJS,5.0
BRAE7MBPXNHC5QHM,5.0
BRAEYFDEUGF2SWYY,5.0
